name,desc,#,ðŸ¥¾,ðŸž,ðŸŽ©,âš–ï¸,category
Rain/wind jacket,Arc'teryx Beta SL,1.0,False,False,False,340.0,Clothes
Sandals,Xero Z-trail EV,1.0,False,False,False,322.0,Clothes
Puppy coat ðŸ•,Haglofs L.I.M. Down Hood,1.0,False,False,False,254.0,Clothes
Fleece jacket,Northface FutureFleece hoodie,1.0,False,False,False,210.0,Clothes
Legging,Icebreaker 200 Oasis merino,1.0,False,False,False,180.0,Clothes
Socks,Smart Wool Cushion Crew,3.0,False,False,False,60.0,Clothes
Rain pants,Vaude -> replace!,1.0,False,False,False,172.0,Clothes
Shirt,Icebreaker Men Merino 125 Cool-Lite? Sphere III SS Tee,1.0,False,False,False,126.0,Clothes
Camp/swim pants,Nike Stride Dry-Fit,1.0,False,False,False,91.0,Clothes
Underwear,Icebreaker Anatomica Boxers,1.0,False,False,False,73.0,Clothes
Long sleeved shirt?,,1.0,False,False,False,0.0,Clothes
Tent,Bonfus Duos 2P + 4 extra guy lines + wash line,1.0,False,False,False,681.0,Shelter and sleep
Down quilt ,Therm-a-Rest Vesper 32 UL,1.0,False,False,False,510.0,Shelter and sleep
Sleeping pad,Therm-a-Rest Neoair Xlite NXT - shortened after delamination,1.0,False,False,False,325.0,Shelter and sleep
Tent pegs,Hilleberg Y-peg,10.0,False,False,False,11.0,Shelter and sleep
Pillow,Sea to Summit Aeros,1.0,False,False,False,78.0,Shelter and sleep
Shoes,Hoka Speedgoat 6 GTX size 46 2/3,1.0,True,False,False,564.0,Wearables
Hiking poles,Black Diamond Alpine Carbon Cork,1.0,True,False,False,486.0,Wearables
Shirt,Icebreaker Men Merino 125 Cool-Lite? Sphere III SS Tee,1.0,True,False,False,126.0,Wearables
Shorts,Patagonia multi trails,1.0,True,False,False,110.0,Wearables
Fanny pack,"DIY, UltraGrid 132 g/m2",1.0,True,False,False,79.0,Wearables
Underwear,Icebreaker Anatomica Boxers,1.0,True,False,False,73.0,Wearables
Socks hiking,Smart Wool Cushion Crew,1.0,True,False,False,60.0,Wearables
Belt,"Random, came with shorts",1.0,True,False,False,50.0,Wearables
"Neck ""warmer""",Buff Merino,1.0,True,False,False,40.0,Wearables
Sunglasses,Oakley Radar EV Path,1.0,True,False,False,30.0,Wearables
Camera,Canon G7X mark III,1.0,False,False,True,315.0,Electronics
Power bank,Xtorm (?) 10'000 mAh,1.0,False,False,False,216.0,Electronics
Phone,IPhone 13 + protective case,1.0,False,False,False,205.0,Electronics
E-Reader,Kobo Klara + protective cover,1.0,False,False,True,190.0,Electronics
Satellite messenger,Garmin inReach Messenger,1.0,False,False,False,115.0,Electronics
Misc cables,Charging cables,1.0,False,False,False,100.0,Electronics
Sleeping pad pump,Flextail zero + fittings,1.0,False,False,True,61.0,Electronics
USB wall charger,XTorm 35W GaN2 Ultra,1.0,False,False,False,57.0,Electronics
Head light,Nitecore NU 25 UL,1.0,False,False,False,40.0,Electronics
Air tags,Apple air tags,1.0,False,False,False,12.0,Electronics
Camera stuff,"Extra battery, SD cards, ...",1.0,False,False,True,0.0,Electronics
Backpack,Bonfus Framus 58 L,1.0,False,False,False,765.0,Pack
Hip belt pockets,"DIY, Ultra 200x, 133 g/m2",2.0,False,False,False,33.0,Pack
Packing cubes,"DIY, Dyneema, 34 g/m2",2.0,False,False,False,26.0,Pack
Food bag,"DIY, Dyneema, 34 g/m2",1.0,False,False,False,27.0,Pack
Shoulder strap pockets,"DIY, Ultra 100x, 113 g/m2",1.0,False,False,False,12.0,Pack
Toiletry bag,"Soap, tooth brush/paste, sun screen, lip balm, ...",1.0,False,False,False,210.0,Misc
First aid,First aid + medicine,1.0,False,False,False,200.0,Misc
Towel,PackTowl hand (42x92 cm),1.0,False,False,False,82.0,Misc
Water filter,Katadyn befree 1 L,1.0,False,False,False,64.0,Misc
Pocket knife,CRKT CEO Flipper,1.0,False,False,False,58.0,Misc
Mini towel,PackTowl face (25x35 cm),1.0,False,False,False,20.0,Misc
Map + compass,Paper map + compass,1.0,False,False,False,0.0,Misc
Water bottles,"Random, 1 L",3.0,False,False,False,0.0,Misc
Repair kit,"Thread/needles, patch kit sleeping pad, duck tape, ...",1.0,False,False,False,0.0,Misc
Condiments,"Olive oil, salt, Tabasco, stock cubes, ...",1.0,False,True,False,250.0,Consumables
Fuel canister,"Random, 100 g",1.0,False,True,False,205.0,Consumables
Random food,"Small food stuff; coffee, jam, sugar, ..",1.0,False,True,False,100.0,Consumables
Food 2-3 days,Nom nom nom,0.0,False,True,False,2000.0,Consumables
Water,Glug glug glug,0.0,False,True,False,2000.0,Consumables
Cooking pot,Toaks titanium 900 ml + protective cover,1.0,False,False,False,128.0,Cooking
Burner,SOTO WindMaster,1.0,False,False,False,90.0,Cooking
Cutting board,GSI,1.0,False,False,False,70.0,Cooking
Mug,Toaks titanium 375 ml,1.0,False,False,False,51.0,Cooking
Cutlery,STS Passage + Titanium long spoon,1.0,False,False,False,44.0,Cooking
Small stuff,"Canister stand, lighter, ...",1.0,False,False,False,40.0,Cooking
